,Rank,City,Population_2011,Population_2001,Territory
203,204,Mango,223805,166125,Jharkhand
204,205,Thanjavur,222943,215314,Tamil Nadu
205,206,Bulandshahr,222519,176425,Uttar Pradesh
206,207,Uluberia,222240,202135,West Bengal
207,208,Katni,221883,187029,Madhya Pradesh
208,209,Sambhal,220813,182478,Uttar Pradesh
209,210,Singrauli,220257,185190,Madhya Pradesh
210,211,Nadiad,218095,192913,Gujarat
211,212,Secunderabad,217910,206102,Telangana
212,213,Naihati,217900,215303,West Bengal
213,214,Yamunanagar,216677,189696,Haryana
214,215,Bidhannagar,215514,164221,West Bengal
215,216,Pallavaram,215417,144623,Tamil Nadu
216,217,Bidar,214373,172877,Karnataka
217,218,Munger,213303,188050,Bihar
218,219,Panchkula,211355,140925,Haryana
219,220,Burhanpur,210886,193725,Madhya Pradesh
220,221,Kharagpur,207604,188761,West Bengal
221,222,Dindigul,207327,196955,Tamil Nadu
222,223,Gandhinagar,206167,195985,Gujarat
223,224,Hospet,206167,164240,Karnataka
224,225,Nangloi Jat,205596,150948,Delhi
225,226,Malda,205521,161456,West Bengal
226,227,Ongole,204746,150471,Andhra Pradesh
227,228,Deoghar,203123,112525,Jharkhand
228,229,Chapra,202352,79190,Bihar
229,230,Puri,201026,152682,Odisha
230,231,Haldia,200827,170673,West Bengal
231,232,Khandwa,200738,172242,Madhya Pradesh
232,233,Nandyal,200516,152676,Andhra Pradesh
233,234,Morena,200482,150959,Madhya Pradesh
234,235,Amroha,198471,165129,Uttar Pradesh
235,236,Anand,198282,130685,Gujarat
236,237,Bhind,197585,153752,Madhya Pradesh
237,238,Bhalswa Jahangir Pur,197148,152339,Delhi
238,239,Madhyamgram,196127,155451,West Bengal
239,240,Bhiwani,196057,169531,Haryana
240,241,Berhampore,195223,160143,West Bengal
241,242,Ambala,195153,139279,Haryana
242,243,Morbi,194947,145719,Gujarat
243,244,Fatehpur,193193,151757,Uttar Pradesh
244,245,Raebareli,191316,169333,Uttar Pradesh
245,246,"Khora, Ghaziabad",190400,―,Uttar Pradesh
246,247,Chittoor[29],189332,152654,Andhra Pradesh
247,248,Bhusawal,187421,172372,Maharashtra
248,249,Orai,187137,139318,Uttar Pradesh
249,250,Bahraich,186223,168323,Uttar Pradesh
250,251,Phusro,186139,83463,Jharkhand
251,252,Vellore,185803,177230,Tamil Nadu
252,253,Mehsana,184991,141453,Gujarat
253,254,Raiganj,183612,165212,West Bengal
254,255,Sirsa,182534,160735,Haryana
255,256,Danapur,182429,131176,Bihar
256,257,Serampore,181842,197857,West Bengal
257,258,Sultan Pur Majra,181554,164426,Delhi
258,259,Guna,180935,137175,Madhya Pradesh
259,260,Jaunpur,180362,160055,Uttar Pradesh
260,261,Panvel,180020,104058,Maharashtra
261,262,Shivpuri,179977,146892,Madhya Pradesh
262,263,Surendranagar Dudhrej,177851,156161,Gujarat
263,264,Unnao,177658,144662,Uttar Pradesh
264,265,Chinsurah,177259,170201,West Bengal
265,266,Alappuzha,174164,177029,Kerala
266,267,Kottayam,172878,129894,Kerala
267,268,Machilipatnam,169892,179353,Andhra Pradesh
268,269,Shimla,169578,142555,Himachal Pradesh
269,270,Adoni,166537,―,Andhra Pradesh
270,271,Udupi,165401,―,Karnataka
271,272,Katihar,164937,115169,Bihar
272,273,Proddatur,163600,86896,Andhra Pradesh
273,274,Mahbubnagar,158000,–,Telangana
274,275,Saharsa[30],155175,125167,Bihar
275,276,Dibrugarh,154296,137661,Assam
276,277,Jorhat,153889,112026,Assam
277,278,Hazaribagh,153599,127243,Jharkhand
278,279,Hindupur,151835,―,Andhra Pradesh
279,280,Nagaon,148496,123265,Assam
280,281,Hajipur[31],147688,119412,Bihar
281,282,Sasaram[32],147396,131172,Bihar
282,283,Giridih,143529,―,Jharkhand
283,284,Bhimavaram,142280,―,Andhra Pradesh
284,285,Port Blair,140572,―,Andaman and Nicobar Islands UT
285,286,Kumbakonam,140056,144021,Tamil Nadu
286,287,Bongaigaon,139650,101213,Assam
287,288,Dehri[32],137068,119057,Bihar
288,289,Madanapalle,135669,―,Andhra Pradesh
289,290,Siwan[33],134458,109919,Bihar
290,291,Bettiah[34],132896,116670,Bihar
291,292,Ramgarh,132441,73455,Jharkhand
292,293,Tinsukia,126389,101957,Assam
293,294,Guntakal,126270,―,Andhra Pradesh
294,295,Srikakulam,125939,―,Andhra Pradesh
295,296,Motihari[35],125183,100683,Bihar
296,297,Dharmavaram,121874,―,Andhra Pradesh
297,298,Medininagar,120325,―,Jharkhand
298,299,Gudivada,118167,―,Andhra Pradesh
299,300,Phagwara,117966,―,Punjab
300,301,Pudukkottai,117745,―,Tamil Nadu
301,302,Hosur,116821,102000,Tamil Nadu
302,303,Narasaraopet,116250,―,Andhra Pradesh
303,304,Suryapet,115250,94585,Telangana
304,305,Miryalaguda,109891,91395,Telangana
305,306,Anantnag,108505,―,Jammu and Kashmir
306,307,Tadipatri,108171,―,Andhra Pradesh
307,308,Karaikudi,106714,86596,Tamil Nadu
308,309,Kishanganj[36],105782,85590,Bihar
309,310,Jamalpur[37],105221,96983,Bihar
310,311,Ballia,104271,―,Uttar Pradesh
311,312,Kavali,104000,―,Andhra Pradesh
312,313,Tadepalligudem,103906,―,Andhra Pradesh
313,314,Amaravati,103000,―,Andhra Pradesh
314,315,Buxar[38],102591,83168,Bihar
315,316,Tezpur,102505,83028,Assam
316,317,Jehanabad[39],102456,81503,Bihar
317,318,Aurangabad[40],101520,79393,Bihar
318,319,Gangtok,100286,29354,Sikkim
319,320,Vasco Da Gama,100000,―,Goa
